"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Ref**,Ref**";"akirasan_logo";2;"Val**";;;
2;"J2";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"Conn_ANT";;;
3;"U2";"SOT230P696X180-4N";1;"LMS8117AMP-3.3";;;
4;"LED3,LED2,LED1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";3;"WS2812B";;;
5;"J3";"GPS_module_SMD";1;"Conn_GPS";;;
6;"IC1";"ARDPROMINI5_SMD";1;"ARD-PRO-MINI-5";;;
7;"C1";"C_0805_2012Metric_Pad1.29x1.40mm_HandSolder";1;"100nF";;;
8;"C3";"C_0805_2012Metric_Pad1.29x1.40mm_HandSolder";1;"47uF";;;
9;"D1";"D_1206_3216Metric_Pad1.22x1.80mm_HandSolder";1;"D_Schottky_ALT";;;
10;"SW1";"SW_SPDT_PCM12";1;"SW_SPDT";;;
11;"SW2";"SW_SPST_TL3342";1;"SW_Push";;;
12;"J1";"JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical";1;"Conn_BAT";;;
13;"U1";"XCVR_RFM95W-868S2";1;"RFM95W-868S2";;;
14;"D2";"D_0805_2012Metric_Pad1.12x1.40mm_HandSolder";1;"LED";;;
15;"R1";"R_0805_2012Metric_Pad1.29x1.40mm_HandSolder";1;"10K";;;
16;"R2";"R_0805_2012Metric_Pad1.29x1.40mm_HandSolder";1;"1K";;;
17;"";"calles_ok";1;"";;;
18;"";"arduino_small_logo";1;"";;;
19;"Ref**";"lorawan_logo_small";1;"Val**";;;
20;"Ref**";"ttnmapper_logo";1;"Val**";;;
21;"Ref**";"ttn_cat_logo_small_silks";1;"Val**";;;
22;"REF**";"KiCad-Logo2_6mm_SilkScreen";1;"KiCad-Logo2_6mm_SilkScreen";;;
23;"REF**";"OSHW-Logo2_9.8x8mm_SilkScreen";1;"OSHW-Logo2_9.8x8mm_SilkScreen";;;
24;"Ref**";"ttnmapper_logo_small_silks";1;"Val**";;;
